pokemon_item,set,ungraded,grade_nine,grade_ten,date(D/M/Y)
Horsea #20,pokemon-shining-fates,0.26,10.92,29.95,06/07/2024
Scorbunny #SV015,pokemon-shining-fates,2.49,15.00,30.69,06/07/2024
Snom #SV033,pokemon-shining-fates,1.99,13.00,27.59,06/07/2024
Cufant [Reverse Holo] #49,pokemon-shining-fates,1.15,3.75,6.00,06/07/2024
Gossifleur #14,pokemon-shining-fates,0.99,N/A,N/A,06/07/2024
Shinx [Reverse Holo] #31,pokemon-shining-fates,1.40,6.91,9.63,06/07/2024
Koffing [Reverse Holo] #41,pokemon-shining-fates,1.26,4.74,35.25,06/07/2024
Ball Guy [Reverse Holo] #57,pokemon-shining-fates,1.25,12.30,34.79,06/07/2024
Dartrix #7,pokemon-shining-fates,1.12,N/A,13.01,06/07/2024
Galarian Sirfetch'd #SV064,pokemon-shining-fates,1.79,15.00,18.79,06/07/2024
Professor's Research [Reverse Holo] #60,pokemon-shining-fates,1.40,2.75,34.94,06/07/2024
Galarian Mr. Rime #SV021,pokemon-shining-fates,1.54,10.51,25.55,06/07/2024
Gossifleur [Reverse Holo] #14,pokemon-shining-fates,1.06,11.95,15.50,06/07/2024
Volcanion [Reverse Holo] #25,pokemon-shining-fates,1.24,12.29,13.42,06/07/2024
Manaphy [Reverse Holo] #24,pokemon-shining-fates,1.31,14.00,35.02,06/07/2024
Luxray #33,pokemon-shining-fates,1.34,12.55,18.12,06/07/2024
Cacnea [Reverse Holo] #4,pokemon-shining-fates,1.50,7.50,9.00,06/07/2024
Decidueye [Reverse Holo] #8,pokemon-shining-fates,1.01,15.00,15.25,06/07/2024
Toxtricity #SV042,pokemon-shining-fates,1.63,11.51,29.87,06/07/2024
Dragapult #SV062,pokemon-shining-fates,2.00,8.68,19.20,06/07/2024
Corviknight #SV089,pokemon-shining-fates,1.79,8.00,24.34,06/07/2024
Thievul #48,pokemon-shining-fates,1.35,10.51,13.00,06/07/2024
Dartrix [Reverse Holo] #7,pokemon-shining-fates,1.53,12.82,19.99,06/07/2024
Boss's Orders [Reverse Holo] #58,pokemon-shining-fates,1.41,5.57,35.40,06/07/2024
Inteleon #SV027,pokemon-shining-fates,3.42,8.00,34.31,06/07/2024
Chewtle #26,pokemon-shining-fates,0.06,N/A,N/A,06/07/2024
Galarian Weezing [Holo] #42,pokemon-shining-fates,1.43,7.75,13.71,06/07/2024
Sobble #SV025,pokemon-shining-fates,2.47,12.11,26.99,06/07/2024
Drednaw [Reverse Holo] #27,pokemon-shining-fates,1.17,4.25,10.50,06/07/2024
Galarian Ponyta #SV047,pokemon-shining-fates,6.50,11.70,29.12,06/07/2024
Galarian Meowth #SV086,pokemon-shining-fates,3.49,8.50,37.69,06/07/2024
Buizel [Reverse Holo] #22,pokemon-shining-fates,1.54,3.00,11.50,06/07/2024
Grookey #SV004,pokemon-shining-fates,1.99,8.50,31.61,06/07/2024
Horsea [Reverse Holo] #20,pokemon-shining-fates,0.93,13.00,22.61,06/07/2024
Chewtle [Reverse Holo] #26,pokemon-shining-fates,1.19,12.00,15.50,06/07/2024
Alcremie #SV058,pokemon-shining-fates,3.32,12.40,20.00,06/07/2024
Bunnelby #SV097,pokemon-shining-fates,1.44,6.14,19.30,06/07/2024
Nickit #47,pokemon-shining-fates,0.38,N/A,N/A,06/07/2024
Yanma [Reverse Holo] #1,pokemon-shining-fates,1.63,4.17,36.24,06/07/2024
Rowlet [Reverse Holo] #6,pokemon-shining-fates,1.13,3.25,13.03,06/07/2024
Koffing #SV076,pokemon-shining-fates,4.20,10.12,25.75,06/07/2024
Premium Collection Box [Crobat],pokemon-shining-fates,50.78,31.00,37.00,06/07/2024
Morpeko [Reverse Holo] #36,pokemon-shining-fates,1.20,8.80,14.06,06/07/2024
Spinarak #43,pokemon-shining-fates,0.34,N/A,N/A,06/07/2024
Cramorant [Reverse Holo] #28,pokemon-shining-fates,1.24,12.29,28.50,06/07/2024
Professor's Research #60,pokemon-shining-fates,0.99,11.83,33.79,06/07/2024
Rowlet #SV001,pokemon-shining-fates,2.31,11.75,17.50,06/07/2024
Wooloo #SV103,pokemon-shining-fates,2.21,9.99,34.13,06/07/2024
Spinarak [Reverse Holo] #43,pokemon-shining-fates,1.23,12.50,34.71,06/07/2024
Crobat V [Reverse Holo] #44,pokemon-shining-fates,1.88,13.02,37.20,06/07/2024
Crobat VMAX [Reverse Holo] #45,pokemon-shining-fates,2.58,12.52,29.74,06/07/2024
Rillaboom #13,pokemon-shining-fates,1.25,10.51,22.48,06/07/2024
Nickit [Reverse Holo] #47,pokemon-shining-fates,1.35,12.74,21.24,06/07/2024
Dedenne #SV051,pokemon-shining-fates,2.25,9.57,21.36,06/07/2024
Boss's Orders #58,pokemon-shining-fates,1.46,12.69,35.59,06/07/2024
Gym Trainer [Reverse Holo] #59,pokemon-shining-fates,1.42,12.62,15.00,06/07/2024
Cramorant #SV030,pokemon-shining-fates,1.43,9.43,21.47,06/07/2024
Galarian Weezing #SV077,pokemon-shining-fates,4.19,8.79,29.59,06/07/2024
Pikachu V Collection Box,pokemon-shining-fates,16.00,N/A,33.75,06/07/2024
Galarian Zigzagoon #SV078,pokemon-shining-fates,2.15,9.00,21.70,06/07/2024
Decidueye #SV003,pokemon-shining-fates,3.99,18.69,19.49,06/07/2024
Yanmega [Reverse Holo] #2,pokemon-shining-fates,1.60,12.95,16.00,06/07/2024
Polteageist #SV053,pokemon-shining-fates,1.99,8.00,25.47,06/07/2024
Falinks #SV074,pokemon-shining-fates,1.51,9.50,15.71,06/07/2024
Grookey [Reverse Holo] #11,pokemon-shining-fates,1.18,12.06,34.29,06/07/2024
Morpeko #SV044,pokemon-shining-fates,3.26,17.24,26.66,06/07/2024
Decidueye #8 [HOLO],pokemon-shining-fates,1.26,5.50,12.03,06/07/2024
Galarian Obstagoon #SV080,pokemon-shining-fates,2.37,16.15,33.24,06/07/2024
Drizzile #SV026,pokemon-shining-fates,4.49,11.25,17.74,06/07/2024
Snom #29,pokemon-shining-fates,0.99,11.82,33.79,06/07/2024
Indeedee #56,pokemon-shining-fates,1.44,4.45,9.22,06/07/2024
Dracozolt #SV045,pokemon-shining-fates,3.09,15.00,28.53,06/07/2024
Galarian Mr. Mime #SV020,pokemon-shining-fates,2.59,9.77,20.77,06/07/2024
Toxel #SV041,pokemon-shining-fates,2.94,13.76,49.99,06/07/2024
Oranguru #SV098,pokemon-shining-fates,2.39,8.50,22.50,06/07/2024
Zarude #16,pokemon-shining-fates,1.25,12.31,34.79,06/07/2024
Volcanion #25,pokemon-shining-fates,1.02,11.88,33.91,06/07/2024
Drednaw #27,pokemon-shining-fates,0.99,2.25,59.99,06/07/2024
Eiscue #SV035,pokemon-shining-fates,3.83,15.00,31.32,06/07/2024
Rotom #SV038,pokemon-shining-fates,3.01,11.00,26.75,06/07/2024
Yamper #SV039,pokemon-shining-fates,4.45,10.50,44.54,06/07/2024
Trapinch [Reverse Holo] #40,pokemon-shining-fates,1.05,7.50,12.50,06/07/2024
Dartrix #SV002,pokemon-shining-fates,2.49,9.50,15.50,06/07/2024
Duraludon #SV092,pokemon-shining-fates,2.73,5.05,20.38,06/07/2024
Floatzel #23,pokemon-shining-fates,0.50,10.92,31.91,06/07/2024
Manaphy #24,pokemon-shining-fates,1.29,5.50,22.75,06/07/2024
Frosmoth #30,pokemon-shining-fates,1.29,9.06,11.36,06/07/2024
Morpeko #35,pokemon-shining-fates,0.99,11.82,39.45,06/07/2024
Rillaboom #SV006,pokemon-shining-fates,2.56,8.57,22.24,06/07/2024
Galarian Perrserker #SV087,pokemon-shining-fates,2.94,10.97,18.43,06/07/2024
Applin #SV012,pokemon-shining-fates,3.90,18.97,28.18,06/07/2024
Appletun #SV014,pokemon-shining-fates,3.49,11.38,35.00,06/07/2024
Dreepy #SV060,pokemon-shining-fates,3.48,17.00,20.00,06/07/2024
Luxray [Reverse Holo] #33,pokemon-shining-fates,1.50,12.76,20.49,06/07/2024
Gym Trainer #59,pokemon-shining-fates,0.75,17.00,N/A,06/07/2024
Professor's Research [Holo] #60,pokemon-shining-fates,1.85,10.02,37.09,06/07/2024
Raboot #SV016,pokemon-shining-fates,3.44,15.73,24.69,06/07/2024
Hatterene #SV056,pokemon-shining-fates,3.01,15.55,22.47,06/07/2024
Silicobra #SV070,pokemon-shining-fates,2.36,7.01,16.71,06/07/2024
Skwovet #SV099,pokemon-shining-fates,3.10,6.13,18.49,06/07/2024
Flapple #SV013,pokemon-shining-fates,3.43,17.97,20.80,06/07/2024
Sizzlipede #SV018,pokemon-shining-fates,2.79,9.00,22.47,06/07/2024
Minccino #SV093,pokemon-shining-fates,3.50,13.00,20.50,06/07/2024
Celebi [Reverse Holo] #3,pokemon-shining-fates,1.69,16.00,39.07,06/07/2024
Luxio #32,pokemon-shining-fates,0.75,N/A,N/A,06/07/2024
Eevee [Reverse Holo] #52,pokemon-shining-fates,1.33,7.63,30.00,06/07/2024
Rusted Sword #62,pokemon-shining-fates,0.99,N/A,18.50,06/07/2024
Dracovish #SV036,pokemon-shining-fates,3.36,15.00,24.22,06/07/2024
Charizard #103,pokemon-stormfront,122.54,750.00,500.00,06/07/2024
Charmander #101,pokemon-stormfront,36.41,90.01,729.00,06/07/2024
Pichu #45,pokemon-stormfront,3.51,23.65,86.11,06/07/2024
Drifloon #SH1,pokemon-stormfront,26.25,121.16,068.52,06/07/2024
Empoleon #2,pokemon-stormfront,4.52,47.80,85.89,06/07/2024
Pichu [Reverse Holo] #45,pokemon-stormfront,5.99,33.60,108.63,06/07/2024
Dusknoir #1,pokemon-stormfront,3.59,20.51,550.00,06/07/2024
Infernape #3,pokemon-stormfront,5.07,29.78,330.50,06/07/2024
Magnezone #5,pokemon-stormfront,1.74,31.76,431.69,06/07/2024
Raichu LV. X #99,pokemon-stormfront,22.16,85.00,700.00,06/07/2024
Booster Pack,pokemon-stormfront,107.50,N/A,N/A,06/07/2024
Torterra #11,pokemon-stormfront,3.49,54.00,78.04,06/07/2024
Tyranitar #30,pokemon-stormfront,4.75,106.97,540.00,06/07/2024
Machamp LV. X #98,pokemon-stormfront,24.24,85.69,485.25,06/07/2024
Regigigas #9,pokemon-stormfront,4.04,33.00,39.03,06/07/2024
Gyarados #19,pokemon-stormfront,5.12,53.74,105.84,06/07/2024
Charmeleon #102,pokemon-stormfront,29.88,99.02,910.34,06/07/2024
Gengar #18,pokemon-stormfront,8.66,75.05,350.00,06/07/2024
Magikarp #65,pokemon-stormfront,1.79,19.72,76.05,06/07/2024
Gyarados [Reverse Holo] #19,pokemon-stormfront,7.92,100.50,141.08,06/07/2024
Salamence #24,pokemon-stormfront,2.72,25.82,53.00,06/07/2024
Machamp #20,pokemon-stormfront,4.67,27.98,95.50,06/07/2024
Pichu [Platinum] #45,pokemon-stormfront,7.24,N/A,N/A,06/07/2024
Pikachu #70,pokemon-stormfront,2.79,29.30,111.00,06/07/2024
Pikachu [Reverse Holo] #70,pokemon-stormfront,13.07,76.00,213.21,06/07/2024
Mismagius #7,pokemon-stormfront,5.84,23.52,110.46,06/07/2024
Regigigas [Reverse Holo] #9,pokemon-stormfront,3.24,100.00,120.00,06/07/2024
Sceptile #10,pokemon-stormfront,4.00,51.00,428.12,06/07/2024
Lumineon #4,pokemon-stormfront,3.28,30.29,75.52,06/07/2024
Magnezone #6,pokemon-stormfront,3.08,14.50,127.50,06/07/2024
Sableye #48,pokemon-stormfront,2.02,22.02,25.59,06/07/2024
Voltorb #SH3,pokemon-stormfront,30.00,151.62,250.00,06/07/2024
Heatran LV. X #97,pokemon-stormfront,9.46,55.15,534.14,06/07/2024
Raichu #8,pokemon-stormfront,8.96,42.00,481.68,06/07/2024
Rapidash #22,pokemon-stormfront,1.99,16.46,50.50,06/07/2024
Treecko #79,pokemon-stormfront,0.99,8.34,19.19,06/07/2024
Dusknoir LV. X #96,pokemon-stormfront,19.57,57.08,592.19,06/07/2024
Steelix #28,pokemon-stormfront,3.99,32.95,85.92,06/07/2024
Duskull #SH2,pokemon-stormfront,46.89,135.07,686.72,06/07/2024
Gastly #62,pokemon-stormfront,1.59,13.41,25.55,06/07/2024
Abomasnow #12,pokemon-stormfront,1.49,8.52,50.47,06/07/2024
Regigigas LV. X #100,pokemon-stormfront,18.05,76.00,099.99,06/07/2024
Tyranitar [Reverse Holo] #30,pokemon-stormfront,7.82,40.43,750.00,06/07/2024
Pupitar #47,pokemon-stormfront,1.23,20.00,N/A,06/07/2024
Luxury Ball #86,pokemon-stormfront,1.55,20.47,55.49,06/07/2024
Haunter #40,pokemon-stormfront,1.93,9.25,196.94,06/07/2024
Grovyle #39,pokemon-stormfront,1.50,18.62,51.00,06/07/2024
Machoke #41,pokemon-stormfront,2.15,22.37,60.13,06/07/2024
Scyther #49,pokemon-stormfront,2.96,39.99,75.94,06/07/2024
Onix #69,pokemon-stormfront,0.99,15.70,43.88,06/07/2024
Gengar [Reverse Holo] #18,pokemon-stormfront,19.85,88.67,308.06,06/07/2024
Larvitar #63,pokemon-stormfront,1.67,25.00,139.99,06/07/2024
Infernape [Reverse Holo] #3,pokemon-stormfront,3.26,49.00,75.67,06/07/2024
Machop #64,pokemon-stormfront,1.48,20.00,N/A,06/07/2024
Bibarel #32,pokemon-stormfront,1.07,N/A,16.50,06/07/2024
Scizor #25,pokemon-stormfront,3.75,31.57,82.55,06/07/2024
Salamence [Reverse Holo] #24,pokemon-stormfront,4.21,29.07,89.04,06/07/2024
Raichu [Reverse Holo] #8,pokemon-stormfront,4.99,26.00,N/A,06/07/2024
Bidoof #54,pokemon-stormfront,1.47,18.06,49.63,06/07/2024
Torterra [Reverse Holo] #11,pokemon-stormfront,3.25,70.00,75.53,06/07/2024
Budew #33,pokemon-stormfront,3.99,32.95,85.90,06/07/2024
Scyther [Reverse Holo] #49,pokemon-stormfront,3.54,64.73,74.70,06/07/2024
Stunky #76,pokemon-stormfront,1.36,17.83,49.07,06/07/2024
Sableye [Reverse Holo] #48,pokemon-stormfront,6.01,18.61,114.17,06/07/2024
Sceptile [Reverse Holo] #10,pokemon-stormfront,2.00,25.25,N/A,06/07/2024
Machamp [Reverse Holo] #20,pokemon-stormfront,7.77,59.00,144.16,06/07/2024
Haunter [Reverse Holo] #40,pokemon-stormfront,3.56,50.63,101.53,06/07/2024
Rapidash [Reverse Holo] #22,pokemon-stormfront,2.93,39.99,71.06,06/07/2024
Miltank [Reverse Holo] #44,pokemon-stormfront,2.32,23.35,62.54,06/07/2024
Ponyta #71,pokemon-stormfront,1.50,13.41,51.01,06/07/2024
Switch #93,pokemon-stormfront,1.09,15.00,N/A,06/07/2024
Staraptor #27,pokemon-stormfront,1.43,5.50,49.92,06/07/2024
Pupitar [Reverse Holo] #47,pokemon-stormfront,3.29,28.71,75.59,06/07/2024
Gastly [Reverse Holo] #62,pokemon-stormfront,7.06,39.94,500.00,06/07/2024
Steelix [Reverse Holo] #28,pokemon-stormfront,4.64,36.63,94.86,06/07/2024
Piloswine [Prerelease Staff] #46,pokemon-stormfront,32.43,120.09,N/A,06/07/2024
Potion #92,pokemon-stormfront,1.00,N/A,N/A,06/07/2024
Drifblim #16,pokemon-stormfront,2.23,22.82,61.23,06/07/2024
Scizor [Reverse Holo] #25,pokemon-stormfront,8.35,58.02,146.96,06/07/2024
Magnezone [Reverse Holo] #5,pokemon-stormfront,3.42,35.77,81.41,06/07/2024
Skarmory #51,pokemon-stormfront,1.68,22.25,N/A,06/07/2024
Bagon #53,pokemon-stormfront,1.27,20.00,47.79,06/07/2024
Magnemite #67,pokemon-stormfront,1.79,N/A,N/A,06/07/2024
Piloswine [Prerelease] #46,pokemon-stormfront,6.93,40.99,N/A,06/07/2024
Skarmory [Reverse Holo] #51,pokemon-stormfront,1.65,21.28,57.49,06/07/2024
Duskull #60,pokemon-stormfront,1.62,19.32,52.72,06/07/2024
Voltorb #80,pokemon-stormfront,1.52,13.56,50.62,06/07/2024
Voltorb #81,pokemon-stormfront,1.45,N/A,N/A,06/07/2024
Dusknoir #17,pokemon-stormfront,1.86,17.54,48.37,06/07/2024
Empoleon [Reverse Holo] #2,pokemon-stormfront,3.30,38.59,76.22,06/07/2024
Mamoswine [Reverse Holo] #21,pokemon-stormfront,2.53,29.97,65.46,06/07/2024
Electrode [Reverse Holo] #36,pokemon-stormfront,2.07,34.97,59.01,06/07/2024
Magneton #43,pokemon-stormfront,2.00,N/A,N/A,06/07/2024
Miltank #44,pokemon-stormfront,1.46,18.40,50.47,06/07/2024
Snover #74,pokemon-stormfront,1.00,N/A,N/A,06/07/2024
Drapion #15,pokemon-stormfront,0.99,N/A,N/A,06/07/2024
Dusclops #35,pokemon-stormfront,1.13,N/A,N/A,06/07/2024
Magneton #42,pokemon-stormfront,0.99,N/A,N/A,06/07/2024
Magneton [Reverse Holo] #43,pokemon-stormfront,2.07,21.91,59.02,06/07/2024
Tangrowth #29,pokemon-stormfront,1.47,N/A,N/A,06/07/2024
Electrode #37,pokemon-stormfront,0.99,N/A,N/A,06/07/2024
Cherubi #56,pokemon-stormfront,1.58,19.09,52.16,06/07/2024
Mamoswine #21,pokemon-stormfront,1.63,N/A,N/A,06/07/2024
Misdreavus #68,pokemon-stormfront,1.65,N/A,N/A,06/07/2024
Warp Energy #95,pokemon-stormfront,1.50,N/A,N/A,06/07/2024
Blister Pack,pokemon-stormfront,247.50,N/A,N/A,06/07/2024
Booster Box,pokemon-stormfront,750.50,N/A,N/A,06/07/2024
Gyarados [Holo] #19,pokemon-stormfront,8.03,N/A,N/A,06/07/2024
Budew [Reverse Holo] #33,pokemon-stormfront,7.05,59.99,128.72,06/07/2024
Piloswine #46,pokemon-stormfront,1.63,93.71,N/A,06/07/2024
Luxury Ball [Reverse Holo] #86,pokemon-stormfront,12.70,62.89,208.10,06/07/2024
Poke Drawer + [Reverse Holo] #89,pokemon-stormfront,4.27,37.77,89.77,06/07/2024
Abomasnow [Reverse Holo] #12,pokemon-stormfront,1.99,N/A,72.47,06/07/2024
Bronzong #13,pokemon-stormfront,1.16,N/A,N/A,06/07/2024
Onix [Reverse Holo] #69,pokemon-stormfront,1.99,N/A,N/A,06/07/2024
Grovyle [Reverse Holo] #39,pokemon-stormfront,1.96,21.27,57.46,06/07/2024
Combee [Reverse Holo] #57,pokemon-stormfront,3.45,N/A,N/A,06/07/2024
Magikarp [Reverse Holo] #65,pokemon-stormfront,12.39,100.00,225.64,06/07/2024
Mismagius [Reverse Holo] #7,pokemon-stormfront,1.65,N/A,N/A,06/07/2024
Swinub [Reverse Holo] #77,pokemon-stormfront,4.23,N/A,N/A,06/07/2024
Bronzong [Reverse Holo] #13,pokemon-stormfront,2.19,N/A,N/A,06/07/2024
Drifblim [Reverse Holo] #16,pokemon-stormfront,3.79,N/A,N/A,06/07/2024
Roserade #23,pokemon-stormfront,1.00,N/A,N/A,06/07/2024
Skuntank [Reverse Holo] #26,pokemon-stormfront,1.95,N/A,59.97,06/07/2024
Vespiquen #31,pokemon-stormfront,1.15,N/A,N/A,06/07/2024
Vespiquen [Reverse Holo] #31,pokemon-stormfront,2.92,N/A,N/A,06/07/2024
Dusclops [Reverse Holo] #34,pokemon-stormfront,2.08,54.88,N/A,06/07/2024
Dusclops [Reverse Holo] #35,pokemon-stormfront,1.43,N/A,N/A,06/07/2024
Lumineon [Reverse Holo] #4,pokemon-stormfront,3.23,28.52,75.13,06/07/2024
Machoke [Reverse Holo] #41,pokemon-stormfront,2.69,36.00,67.73,06/07/2024
Piloswine [Reverse Holo] #46,pokemon-stormfront,2.36,N/A,N/A,06/07/2024
Bidoof [Reverse Holo] #54,pokemon-stormfront,5.00,38.74,99.98,06/07/2024
Finneon [Reverse Holo] #61,pokemon-stormfront,1.69,N/A,N/A,06/07/2024
Machop [Reverse Holo] #64,pokemon-stormfront,1.30,19.97,56.00,06/07/2024
Ponyta [Reverse Holo] #71,pokemon-stormfront,3.90,32.44,84.66,06/07/2024
Roselia [Reverse Holo] #72,pokemon-stormfront,2.72,N/A,N/A,06/07/2024
Snover [Reverse Holo] #74,pokemon-stormfront,2.00,N/A,N/A,06/07/2024
Treecko [Reverse Holo] #79,pokemon-stormfront,4.00,N/A,N/A,06/07/2024
Voltorb [Reverse Holo] #80,pokemon-stormfront,4.18,N/A,N/A,06/07/2024
Voltorb [Reverse Holo] #81,pokemon-stormfront,1.99,N/A,N/A,06/07/2024
Conductive Quarry [Reverse Holo] #82,pokemon-stormfront,2.48,N/A,N/A,06/07/2024
Energy Link [Reverse Holo] #83,pokemon-stormfront,1.80,N/A,N/A,06/07/2024
Energy Switch #84,pokemon-stormfront,1.34,N/A,N/A,06/07/2024
Energy Switch [Reverse Holo] #84,pokemon-stormfront,1.22,N/A,N/A,06/07/2024
Great Ball #85,pokemon-stormfront,1.42,N/A,N/A,06/07/2024
Great Ball [Reverse Holo] #85,pokemon-stormfront,0.99,N/A,N/A,06/07/2024
Marley's Request [Reverse Holo] #87,pokemon-stormfront,6.12,N/A,N/A,06/07/2024
Poke Blower + [Reverse Holo] #88,pokemon-stormfront,3.66,N/A,N/A,06/07/2024
Poke Healer + [Reverse Holo] #90,pokemon-stormfront,3.24,N/A,N/A,06/07/2024
Switch [Reverse Holo] #93,pokemon-stormfront,4.53,N/A,N/A,06/07/2024
Dusknoir [Reverse Holo] #1,pokemon-stormfront,3.94,32.66,148.48,06/07/2024
Cherrim #14,pokemon-stormfront,2.45,24.27,64.77,06/07/2024
Cherrim [Reverse Holo] #14,pokemon-stormfront,2.78,N/A,N/A,06/07/2024
Drapion [Reverse Holo] #15,pokemon-stormfront,2.79,12.99,N/A,06/07/2024
Dusknoir [Reverse Holo] #17,pokemon-stormfront,1.99,N/A,N/A,06/07/2024
Roserade [Reverse Holo] #23,pokemon-stormfront,2.80,N/A,N/A,06/07/2024
Skuntank #26,pokemon-stormfront,2.71,10.50,N/A,06/07/2024
Staraptor [Reverse Holo] #27,pokemon-stormfront,3.48,33.69,N/A,06/07/2024
Tangrowth [Reverse Holo] #29,pokemon-stormfront,3.08,27.72,73.18,06/07/2024
Bibarel [Reverse Holo] #32,pokemon-stormfront,2.20,N/A,N/A,06/07/2024
Dusclops #34,pokemon-stormfront,1.33,N/A,N/A,06/07/2024
Electrode #36,pokemon-stormfront,1.37,N/A,N/A,06/07/2024
Electrode [Reverse Holo] #37,pokemon-stormfront,2.41,23.98,64.04,06/07/2024
Farfetch'd #38,pokemon-stormfront,2.14,N/A,N/A,06/07/2024
Farfetch'd [Reverse Holo] #38,pokemon-stormfront,2.70,25.54,67.87,06/07/2024
Magneton [Reverse Holo] #42,pokemon-stormfront,2.67,N/A,N/A,06/07/2024
Shelgon #50,pokemon-stormfront,1.44,19.20,52.42,06/07/2024
Shelgon [Reverse Holo] #50,pokemon-stormfront,2.26,23.00,61.65,06/07/2024
Staravia #52,pokemon-stormfront,1.42,N/A,N/A,06/07/2024
Staravia [Reverse Holo] #52,pokemon-stormfront,0.99,N/A,N/A,06/07/2024
Bagon [Reverse Holo] #53,pokemon-stormfront,2.99,39.99,71.92,06/07/2024
Bronzor #55,pokemon-stormfront,0.51,N/A,N/A,06/07/2024
Bronzor [Reverse Holo] #55,pokemon-stormfront,3.57,N/A,N/A,06/07/2024
Cherubi [Reverse Holo] #56,pokemon-stormfront,2.39,N/A,N/A,06/07/2024
Combee #57,pokemon-stormfront,1.52,N/A,N/A,06/07/2024
Drifloon #58,pokemon-stormfront,1.24,N/A,N/A,06/07/2024
Drifloon [Reverse Holo] #58,pokemon-stormfront,1.91,N/A,N/A,06/07/2024
Duskull #59,pokemon-stormfront,1.34,10.50,N/A,06/07/2024
Duskull [Reverse Holo] #59,pokemon-stormfront,2.99,27.18,71.83,06/07/2024
Magnezone [Reverse Holo] #6,pokemon-stormfront,3.00,16.00,72.01,06/07/2024
Duskull [Reverse Holo] #60,pokemon-stormfront,3.49,30.07,78.88,06/07/2024
Finneon #61,pokemon-stormfront,0.96,N/A,N/A,06/07/2024
Larvitar [Reverse Holo] #63,pokemon-stormfront,2.50,54.88,N/A,06/07/2024
Magnemite #66,pokemon-stormfront,1.79,N/A,N/A,06/07/2024
Magnemite [Reverse Holo] #66,pokemon-stormfront,2.25,N/A,N/A,06/07/2024
Magnemite [Reverse Holo] #67,pokemon-stormfront,1.99,21.44,57.87,06/07/2024
Misdreavus [Reverse Holo] #68,pokemon-stormfront,3.04,N/A,N/A,06/07/2024
Roselia #72,pokemon-stormfront,1.06,N/A,N/A,06/07/2024
Skorupi #73,pokemon-stormfront,1.77,N/A,N/A,06/07/2024
Skorupi [Reverse Holo] #73,pokemon-stormfront,2.04,N/A,N/A,06/07/2024
Starly #75,pokemon-stormfront,1.35,N/A,N/A,06/07/2024
Starly [Reverse Holo] #75,pokemon-stormfront,1.57,N/A,N/A,06/07/2024
Stunky [Reverse Holo] #76,pokemon-stormfront,3.00,N/A,N/A,06/07/2024
Swinub #77,pokemon-stormfront,1.97,N/A,N/A,06/07/2024
Tangela #78,pokemon-stormfront,1.55,N/A,N/A,06/07/2024
Tangela [Reverse Holo] #78,pokemon-stormfront,2.77,N/A,52.00,06/07/2024
Conductive Quarry #82,pokemon-stormfront,3.07,N/A,N/A,06/07/2024
Energy Link #83,pokemon-stormfront,1.04,N/A,N/A,06/07/2024
Marley's Request #87,pokemon-stormfront,1.33,N/A,N/A,06/07/2024
Poke Blower + #88,pokemon-stormfront,1.45,N/A,N/A,06/07/2024
Poke Drawer + #89,pokemon-stormfront,2.18,N/A,N/A,06/07/2024
Poke Healer + #90,pokemon-stormfront,2.22,22.30,59.97,06/07/2024
Premier Ball #91,pokemon-stormfront,1.90,N/A,N/A,06/07/2024
Premier Ball [Reverse Holo] #91,pokemon-stormfront,3.51,N/A,N/A,06/07/2024
Potion [Reverse Holo] #92,pokemon-stormfront,1.51,N/A,N/A,06/07/2024
Cyclone Energy #94,pokemon-stormfront,1.38,N/A,N/A,06/07/2024
Cyclone Energy [Reverse Holo] #94,pokemon-stormfront,1.72,17.77,N/A,06/07/2024
Warp Energy [Reverse Holo] #95,pokemon-stormfront,2.12,N/A,N/A,06/07/2024
M Gardevoir EX #112,pokemon-steam-siege,12.00,35.00,80.07,06/07/2024
Gardevoir EX #116,pokemon-steam-siege,21.24,53.93,207.48,06/07/2024
M Steelix EX #68,pokemon-steam-siege,4.89,15.50,42.21,06/07/2024
M Gardevoir EX #79,pokemon-steam-siege,5.00,15.28,36.81,06/07/2024
M Steelix EX #109,pokemon-steam-siege,6.49,28.00,69.99,06/07/2024
Azumarill #77,pokemon-steam-siege,1.63,27.50,60.00,06/07/2024
Volcanion EX #26,pokemon-steam-siege,1.81,11.00,19.99,06/07/2024
Volcanion EX #115,pokemon-steam-siege,9.75,39.95,111.44,06/07/2024
Volcanion EX #107,pokemon-steam-siege,4.97,18.00,44.93,06/07/2024
Gardevoir EX #111,pokemon-steam-siege,6.00,12.39,48.73,06/07/2024
Professor Sycamore #114,pokemon-steam-siege,5.49,14.50,52.96,06/07/2024
Pokemon Ranger #113,pokemon-steam-siege,6.37,17.81,50.00,06/07/2024
Magearna EX #110,pokemon-steam-siege,2.75,14.74,38.87,06/07/2024
Shiftry [Reverse Holo] #11,pokemon-steam-siege,1.92,74.91,90.00,06/07/2024
Yveltal BREAK #66,pokemon-steam-siege,3.71,9.61,32.44,06/07/2024
Steelix EX #108,pokemon-steam-siege,6.05,25.60,69.00,06/07/2024
Hydreigon BREAK #87,pokemon-steam-siege,2.64,12.25,39.99,06/07/2024
Steelix EX #67,pokemon-steam-siege,2.45,13.00,35.00,06/07/2024
Bisharp [Reverse Holo] #64,pokemon-steam-siege,1.99,24.99,150.00,06/07/2024
Infernape [Reverse Holo] #20,pokemon-steam-siege,2.80,18.15,70.00,06/07/2024
